Ergebnisse pro Datei:
- 089eb1720baa8811551bfda11f15e93bc9092547312c2843046d744648f5f722__job-output_cropped.csv: 8 None-Werte, 8 keine-None-Werte
- 089eef18d062276fac4bd8793c0c812f546d65baeb68c07a4f59b9458f588ee4__job-output_cropped.csv: 1 None-Werte, 2 keine-None-Werte
- 090a4ca040246daefeaf43707b219212eabde99aef54bc63fc87b2d50f4302c6__job-output_cropped.csv: 1 None-Werte, 2 keine-None-Werte
- 090c75a8faa6c531970fa05ef8ed10801fd0e3587263942f17cc69f084227a44__job-output_cropped.csv: 2 None-Werte, 2 keine-None-Werte
- 090cf44f9660468f553f4cb1a6c0def3aab7f59ccf11bc099c1d773bf3c49fd8__job-output_cropped.csv: 1 None-Werte, 5 keine-None-Werte
- 090d312fb0ce6879f382089f587892b7461b607a3f577cbd9b82810b61370fe7__job-output_cropped.csv: 2 None-Werte, 2 keine-None-Werte
- 090d4fd933f5cb26460b27904d0941d06916c40b6f652e142ea50682793cfac2__job-output_cropped.csv: 1 None-Werte, 0 keine-None-Werte
- 091d39c8d48f19c0eb67b28b42d0d4d1a6a38610eed29645a17c3f6003f0c7a5__job-output_cropped.csv: 8 None-Werte, 13 keine-None-Werte

Gesamtanzahl der Reihen ohne None-Werte in der Spalte 'log_line': 409, 75.04587155963303 %
Gesamtanzahl der Reihen mit None-Werten in der Spalte 'log_line': 136, 24.954128440366972 %
Gesamtanzahl der geprüften Reihen: 545
Dateien mit None-Werten: 49

Häufigkeiten der Werte in der Spalte 'main_category' für Reihen mit None in 'log_line':
- Unknown error: 136 Mal
